#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Streptomyces flavoviridis	ATCC 19759, ATCC 19903, BCRC 11474, CBS 497.68, CCRC 11474, DSM 40153, IFO 12772, IMET 42058, INA 2314, INA 2314/53, ISP 5153, JCM 4372, NBRC 12772, NRRL-ISP 5153, RIA 1039, UNIQEM 145, VKM Ac-754	yes	no
Streptomyces flocculus	ATCC 25453, BCRC 12068, CBS 686.69, CCRC 12068, DSM 40327, HUT 6615, IFO 13041, IMET 43522, ISP 5327, JCM 4476, NBRC 13041, NRRL 2960, NRRL B-2465, NRRL B-2843, NRRL-ISP 5327, RIA 1233	yes	yes
Streptomyces floridae	AS 4.1972, DSM 40938, IFO 15405, JCM 5068, NBRC 15405, NCIMB 12830, NRRL 2423	yes	no
Streptomyces formicae	1H-GS9, CGMCC 4.7277, DSM 100524	yes	no
Streptomyces fractus	DSM 42163, MV32, NRRL B-59159	yes	no
Streptomyces fradiae	ATCC 10745, ATCC 19760, BCRC 12196, CBS 498.68, CCM 3174, CCRC 12196, CECT 3197, DSM 40063, DSM 40536 [[Streptomyces roseoflavus]], HAMBI 965, HUT 6095, IFM 1030, IFO 12773, IFO 3718, IMET 42051, IMI 061202, ISP 5063, JCM 4133, JCM 4579, KCTC 9760, NBRC 12773, NBRC 13439 [[Streptomyces roseoflavus]], NBRC 3718, NCIMB 11005, NCIMB 8233, NRRL B-1195, NRRL B-2789 [[Streptomyces roseoflavus]], NRRL-ISP 5063, PCM 2330, RIA 1040, RIA 97, UNIQEM 146, VKM Ac-150, VKM Ac-151, VKM Ac-152, VKM Ac-764	yes	yes
Streptomyces fragilis	ATCC 23908, BCRC 13654, CBS 804.68, CCRC 13654, DSM 40044, HAMBI 1083, HAMBI 1090, IFO 12862, IMET 43575, ISP 5044, JCM 4187, JCM 4638, NBRC 12862, NCIMB 9795, NRRL 2424, NRRL-ISP 5044, RIA 1111, VKM Ac-1773	yes	no
Streptomyces fukangensis	BCRC 16945, EGI 80050, JCM 19127	yes	no
Streptomyces fulvissimus	ATCC 27431, BCRC 12172, CBS 783.72, CCRC 12172, CCUG 11114, CIP 105783, DSM 40593, IFO 13482, ISP 5593, JCM 4129, JCM 4754, KCTC 9779, LMG 19310, NBRC 13482, NBRC 3717, NCIMB 10505, NCIMB 9609, NRRL B-1453, NRRL-ISP 5593, RIA 1443, VKM Ac-994	yes	yes
Streptomyces fulvorobeus	DSM 41455, IFO 15897, INMI 34-280, JCM 9090, LMG 19901, NBRC 15897, VKM 158, VKM Ac-158	yes	no
Streptomyces fumanus	ATCC 19904, ATCC 25454, BCRC 12058, CBS 687.69, CCRC 12058, DSM 40154, IFO 13042, INA 10256/54, ISP 5154, JCM 4477, NBRC 13042, NRRL B-3898, NRRL B-5420, NRRL-ISP 5154, RIA 1234, VKM Ac-1845	yes	no
Streptomyces fumigatiscleroticus	ATCC 19345, BCRC 12344, CBS 639.66, CCRC 12344, CMI 117720, DSM 43154, IFO 12999, JCM 3101, KCC A-0101, NBRC 12999, NCIMB 11004, NRRL B-3856, RIA 884	yes	no
Streptomyces fuscichromogenes	CGMCC 4.7110, KCTC 29195, m16	yes	no
Streptomyces fuscigenes	JBL-20, KACC 18269, NBRC 110629	yes	no
Streptomyces galbus	ATCC 23910, BCRC 12166, CBS 831.68, CCRC 12166, DSM 40089, IFO 12864, IMET 42937, ISP 5089, JCM 4222, JCM 4639, NBRC 12864, NCIMB 13005, NRRL B-2283, NRRL-ISP 5089, RIA 1121, VKM Ac-165	yes	no
Streptomyces galilaeus	AS 4.1320, ATCC 14969, BCRC 11828, CBS 701.72, CCRC 11828, CCT 4839, DSM 40481, IFO 13400, ISP 5481, JCM 4231, JCM 4757, KCTC 1921, NBRC 13400, NRRL 2722, NRRL-ISP 5481, RIA 1361, VKM Ac-729	yes	no
Streptomyces gamaensis	CGMCC 4.7304, DSM 101531, NEAU-Gz11	yes	no
Streptomyces gancidicus	DSM 40935, IFM 1024, IFO 15412, JCM 4171, KCC S-0171, NBRC 15412, NCIMB 12858, NRRL B-1872	yes	no
Streptomyces gandocaensis	12620-H2	yes	no
Streptomyces gardneri	ATCC 23911, ATCC 9604, BCRC 12346, BCRC 13687, BCRC 13731, CBS 832.68, CCRC 12346, CCRC 13687, CCRC 13731, DSM 40064, IFO 12865, IFO 13974, IFO 3385, IMET 7182, ISP 5064, JCM 3004, JCM 4375, NBRC 12865, NBRC 13974, NBRC 3385, NCTC 6531, NRRL B-5615, NRRL-ISP 5064, RIA 1117, VKM Ac-1829	yes	no
Streptomyces gelaticus	ATCC 23912, ATCC 3323, BCRC 11477, CBS 131.20, CBS 369.39, CBS 833.68, CCRC 11477, DSM 40065, IFO 12866, IMET 40285, ISP 5065, JCM 4376, NBRC 12866, NCIMB 9848, NRRL B-1252, NRRL B-2928, NRRL-ISP 5065, RIA 1118, RIA 89, VKM Ac-1704	yes	no
Streptomyces geldanamycininus	DSM 41894, NRRL 3602	yes	no
Streptomyces geysiriensis	ATCC 15303, CBS 546.70, CECT 3209, DSM 40742, IFO 15413, JCM 4962, NBRC 15413, NRRL B-12102, VKM Ac-844	yes	no
Streptomyces ghanaensis	ATCC 14672, CBS 544.70, DSM 40746	yes	yes
Streptomyces gibsonii	ATCC 6852, CBS 118.60, CBS 119.60, DSM 43284, HUT 6617, IFO 15415, IMET 7023, JCM 5061, LMG 19912, NBRC 15415, NCTC 4575, NRRL B-1335	yes	yes
Streptomyces gilvifuscus	KACC 18248, KEMB 9005-213, NBRC 110904, T113	yes	no
Streptomyces gilvigriseus	DSM 42173, MCCC 1K00504, MUSC 26	yes	yes
Streptomyces glaucescens	AS 4.1408, ATCC 19761, ATCC 23622, BCRC 11478, CBS 499.68, CCRC 11478, CECT 3133, DSM 40155, IFO 12774, IMET 43584, INA 8731, ISP 5155, JCM 4377, LMG 19330, NBRC 12774, NCIMB 9619, NCIMB 9844, NRRL B-2706, NRRL-ISP 5155, RIA 1041, UNIQEM 147, VKM Ac-617	yes	yes
Streptomyces glauciniger	AS 4.1858, FXJ14, JCM 12278, LMG 22082, NBRC 100913	yes	no
Streptomyces glaucosporus	ATCC 25183, DSM 41689, IFO 15416, INA G-72, INMI 2979, JCM 6921, NBRC 103021, NBRC 15416, VKM Ac-1763	yes	no
Streptomyces glaucus	ATCC 43685, DSM 41456, IFO 15417, INA G-86, INMI 2965, JCM 6922, LMG 19902, NBRC 15417, NRRL B-16368, VKM Ac-803	yes	no
Streptomyces glebosus	ATCC 14607, CGMCC 4.1873, CIP 106832, DSM 40823, IFO 13786, IFO 13982, JCM 4954, KCTC 9782, LMG 19950, NBRC 13786, NBRC 13982, NRRL B-3248	yes	no
Streptomyces globisporus	68, 68 [[Streptomyces albovinaceus]], 68 [[Streptomyces griseinus]], 68 [[Streptomyces mediolani]], ATCC 15823, ATCC 15823 [[Streptomyces albovinaceus]], ATCC 15823 [[Streptomyces griseinus]], ATCC 15823 [[Streptomyces mediolani]], ATCC 15864, ATCC 15864 [[Streptomyces albovinaceus]], ATCC 15864 [[Streptomyces griseinus]], ATCC 15864 [[Streptomyces mediolani]], ATCC 23913, ATCC 23915, ATCC 23915 [[Streptomyces albovinaceus]], ATCC 23915 [[Streptomyces griseinus]], ATCC 23915 [[Streptomyces mediolani]], BCRC 11479, CBS 834.68, CBS 836.68, CBS 836.68 [[Streptomyces albovinaceus]], CBS 836.68 [[Streptomyces griseinus]], CBS 836.68 [[Streptomyces mediolani]], CCRC 11479, CCUG 11107, DSM 40047, DSM 40047 [[Streptomyces albovinaceus]], DSM 40047 [[Streptomyces griseinus]], DSM 40047 [[Streptomyces mediolani]], DSM 40136, DSM 40136 [[Streptomyces albovinaceus]], DSM 40136 [[Streptomyces griseinus]], DSM 40136 [[Streptomyces mediolani]], DSM 40199, DSM 40199 [[Streptomyces albovinaceus]], DSM 40199 [[Streptomyces griseinus]], DSM 40199 [[Streptomyces mediolani]], DSM 41647, DSM 41647 [[Streptomyces albovinaceus]], DSM 41647 [[Streptomyces griseinus]], DSM 41647 [[Streptomyces mediolani]], IFO 12867, IFO 12869, IFO 12869 [[Streptomyces albovinaceus]], IFO 12869 [[Streptomyces griseinus]], IFO 12869 [[Streptomyces mediolani]], INMI 2302, ISP 5047, ISP 5047 [[Streptomyces albovinaceus]], ISP 5047 [[Streptomyces griseinus]], ISP 5047 [[Streptomyces mediolani]], ISP 5199, JCM 4378, KCTC 9026, NBRC 12867, NCAIM B.01476, NCIB 10969, NCIB 10969 [[Streptomyces albovinaceus]], NCIB 10969 [[Streptomyces griseinus]], NCIB 10969 [[Streptomyces mediolani]], NCIMB 9796, NRRL B-2872, NRRL-ISP 5199, RIA 1113, RIA 1113 [[Streptomyces albovinaceus]], RIA 1113 [[Streptomyces griseinus]], RIA 1113 [[Streptomyces mediolani]], RIA 1151, RIA 335, VKM Ac-179	yes	no
Streptomyces globisporus subsp. caucasicus	ATCC 19907, CBS 120.60, DSM 40814, INA 13195/54, ISP 5157, JCM 9867, NBRC 100770, NRRL B-2593, NRRL-ISP 5157, RIA 319, VKM Ac-1846	yes	no
Streptomyces globosus	ATCC 14979, DI-15, DSM 40815, IMRU 3736, JCM 13859, LMG 19896, NRRL B-2292	yes	no
Streptomyces glomeratus	DSM 41457, IFO 15898, INA 3980, JCM 9091, LMG 19903, NBRC 15898, VKM Ac-834	yes	no
Streptomyces glomeroaurantiacus	ATCC 15866, DSM 41782, IFO 15418, INMI 1464, JCM 4677, NBRC 15418, NRRL B-3375, RIA 683	yes	no
Streptomyces glycovorans	CCTCC AA 2010005, DSM 42021, YIM M 10366	yes	no
Streptomyces gobitricini	CBS 123.60, DSM 41701, IFO 15419, JCM 5062, NBRC 15419, NRRL B-2596	yes	no
Streptomyces goshikiensis	ATCC 23914, BCRC 12330, CBS 835.68, CCRC 12330, CCUG 11121, DSM 40190, IFO 12868, IMET 42067, ISP 5190, JCM 4294, JCM 4640, NBRC 12868, NCIMB 9828, NRRL B-5428, NRRL-ISP 5190, RIA 1144, VKM Ac-1212	yes	no
Streptomyces gougerotii	ATCC 10975, ATCC 25455, BCRC 12105, CBS 422.34, CBS 688.69, CCRC 12105, DSM 40324, IFO 13043, IFO 3198, IMET 40289, ISP 5324, JCM 4136, JCM 4478, NBRC 13043, NBRC 3198, NRRL B-1344, NRRL B-1903, NRRL-ISP 5324, RIA 1235, VKM Ac-713	yes	no
Streptomyces graminearus	DSM 41474, IFO 15420, INA 13982, JCM 6923, LMG 19904, NBRC 15420, NRRL B-16369, VKM Ac-1847	yes	no
Streptomyces gramineus	JR-43, KACC 15079, NBRC 107863	yes	no
Streptomyces graminifolii	JL-22, KACC 17180, NBRC 109806	yes	no
Streptomyces graminilatus	JL-6, KACC 16470, NBRC 108882	yes	no
Streptomyces graminisoli	JR-19, KACC 16472, NBRC 108883	yes	no
Streptomyces graminofaciens	AS 4.1359, ATCC 12705, BCRC 12352, CBS 756.72, CCRC 12352, CECT 3217, DSM 40559, HAMBI 982, IFO 13455, IMET 43540, ISP 5559, JCM 4157, JCM 4762, LMG 19892, NBRC 13455, NRRL B-2609, NRRL-ISP 5559, RIA 1416, VKM Ac-973	yes	no
Streptomyces griseiniger	DSM 41895, NRRL B-1865	yes	no
Streptomyces griseinus	AS 4.1875, ATCC 23915, BCRC 11480, CBS 836.68, CCRC 11480, CCUG 11106, CGMCC 4.1875, DSM 40047, IFO 12869, ISP 5047, JCM 4379, NBRC 12869, NRRL B-1076, NRRL-ISP 5047, RIA 1113	yes	no
Streptomyces griseoaurantiacus	ATCC 19840, CBS 682.72, DSM 40430, IFO 13381, IFO 15440, ISP 5430, JCM 4763, NBRC 13381, NBRC 15440, NRRL-ISP 5430, RIA 1342, VKM Ac-1728	yes	no
Streptomyces griseobrunneus	AS 4.1838, ATCC 19762, BCRC 13674, CBS 500.68, CCRC 13674, CCUG 11105, CGMCC 4.1838, DSM 40066, HAMBI 1015, IFO 12775, IMET 42052, ISP 5066, JCM 4380, NBRC 12775, NCIMB 12975, NRRL B-2095, NRRL-ISP 5066, RIA 1042, UNIQEM 148, VKM Ac-753	yes	no
Streptomyces griseocarneus	AS 4.1088, ATCC 12628, ATCC 12628 [[Streptomyces alboverticillatus]], ATCC 12628 [[Streptomyces septatus]], ATCC 12628 [[Streptoverticillium alboverticillatum]], ATCC 12628 [[Streptoverticillium septatum]], ATCC 19763, ATCC 27464, ATCC 27464 [[Streptomyces alboverticillatus]], ATCC 27464 [[Streptomyces septatus]], ATCC 27464 [[Streptoverticillium alboverticillatum]], ATCC 27464 [[Streptoverticillium septatum]], ATCC 29818, ATCC 29818 [[Streptomyces alboverticillatus]], ATCC 29818 [[Streptomyces septatus]], ATCC 29818 [[Streptoverticillium alboverticillatum]], ATCC 29818 [[Streptoverticillium septatum]], BCRC 13304, CBS 501.68, CCM 3228, CCRC 13304, CCUG 11123, CECT 3250, DSM 40004, DSM 40004 [[Streptomyces alboverticillatus]], DSM 40004 [[Streptomyces septatus]], DSM 40004 [[Streptoverticillium alboverticillatum]], DSM 40004 [[Streptoverticillium septatum]], DSM 40577, DSM 40577 [[Streptomyces alboverticillatus]], DSM 40577 [[Streptomyces septatus]], DSM 40577 [[Streptoverticillium alboverticillatum]], DSM 40577 [[Streptoverticillium septatum]], DSM 41678, DSM 41678 [[Streptomyces alboverticillatus]], DSM 41678 [[Streptomyces septatus]], DSM 41678 [[Streptoverticillium alboverticillatum]], DSM 41678 [[Streptoverticillium septatum]], IFO 12776, IFO 3387, IPV 2254, IPV 2254 [[Streptomyces alboverticillatus]], IPV 2254 [[Streptomyces septatus]], IPV 2254 [[Streptoverticillium alboverticillatum]], IPV 2254 [[Streptoverticillium septatum]], ISP 5004, JCM 4095, JCM 4580, LMG 5973, NBRC 12776, NBRC 13471, NBRC 13471 [[Streptomyces alboverticillatus]], NBRC 13471 [[Streptomyces septatus]], NBRC 13471 [[Streptoverticillium alboverticillatum]], NBRC 13471 [[Streptoverticillium septatum]], NBRC 13861, NBRC 13861 [[Streptomyces alboverticillatus]], NBRC 13861 [[Streptomyces septatus]], NBRC 13861 [[Streptoverticillium alboverticillatum]], NBRC 13861 [[Streptoverticillium septatum]], NBRC 3387, NCIMB 9623, NRRL 2974, NRRL 2974 [[Streptomyces alboverticillatus]], NRRL 2974 [[Streptomyces septatus]], NRRL 2974 [[Streptoverticillium alboverticillatum]], NRRL 2974 [[Streptoverticillium septatum]], NRRL B-1068, NRRL B-1068 [[Streptomyces alboverticillatus]], NRRL B-1068 [[Streptomyces septatus]], NRRL B-1068 [[Streptoverticillium alboverticillatum]], NRRL B-1068 [[Streptoverticillium septatum]], NRRL B-1350, NRRL-ISP 5004, PCM 2326, PCM 2345, RIA 1043, RIA 132, UNIQEM 149, VKM Ac-881	yes	no
Streptomyces griseochromogenes	ATCC 14511, BCRC 11818, CBS 714.72, CCRC 11818, DSM 40499, IFM 1229, IFO 13413, ISP 5499, JCM 4039, JCM 4764, KCTC 9027, NBRC 13413, NRRL B-12423, NRRL-ISP 5499, RIA 1374	yes	yes
Streptomyces griseoflavus	AS 4.1454, ATCC 25456, BCRC 12232, CBS 409.52, CBS 689.69, CCRC 12232, DSM 40456, IFO 13044, IMET 43530, ISP 5456, JCM 4479, LMG 19344, NBRC 13044, NRRL B-5312, NRRL-ISP 5456, RIA 1236, VKM Ac-993	yes	no
Streptomyces griseofuscus	ATCC 23916, BCRC 10483, CBS 837.68, CCRC 10483, CECT 3307, DSM 40191, IFO 12870, IMET 42068, ISP 5191, JCM 4276, JCM 4641, KACC 20083, NBRC 12870, NCIMB 9821, NRRL B-5429, NRRL-ISP 5191, RIA 1145, VKM Ac-1707	yes	yes
Streptomyces griseoincarnatus	AS 4.1409, ATCC 23623, ATCC 23917, BCRC 11481, CBS 838.68, CCRC 11481, DSM 40274, IFO 12871, INA 9673/55, ISP 5274, JCM 4381, LMG 19316, NBRC 12871, NCIMB 9825, NRRL B-5313, NRRL-ISP 5274, RIA 1192	yes	no
Streptomyces griseoloalbus	ATCC 23624, ATCC 25458, CBS 691.69, DSM 40468, IFO 13046, INA 1875/54, ISP 5468, JCM 4480, NBRC 13046, NRRL B-12383, NRRL-ISP 5468, RIA 1238, VKM Ac-1739	yes	no
Streptomyces griseolus	AS 4.1864, ATCC 19764, ATCC 3325, BCRC 13677, CBS 502.68, CCRC 13677, DSM 40067, HAMBI 1000, HUT 6056, HUT 6099, IFO 12777, IFO 3415, IFO 3719, IMET 42053, ISP 5067, JCM 4042, JCM 4043, JCM 4581, KCTC 9028, NBRC 12777, NBRC 3415, NBRC 3719, NCIMB 9606, NRRL B-1062, NRRL B-2925, NRRL-ISP 5067, RIA 1044, RIA 88, UNIQEM 150, VKM Ac-1726	yes	yes
Streptomyces griseoluteus	AS 4.1440, ATCC 12768, CBS 676.72, DSM 40392, HUT 6058, IFM 1055, IFO 13375, ISP 5392, JCM 4041, JCM 4765, LMG 19356, NBRC 13375, NRRL B-1315, NRRL-ISP 5392, RIA 1336, VKM Ac-976	yes	no
Streptomyces griseomycini	ATCC 19765, ATCC 23625, BCRC 13763, CBS 503.68, CCRC 13763, DSM 40159, IFO 12778, INA 13984, ISP 5159, JCM 4382, NBRC 12778, NCIMB 9845, NRRL B-5421, NRRL-ISP 5159, RIA 1045, UNIQEM 151	yes	no
Streptomyces griseoplanus	AS 4.1868, ATCC 19766, BCRC 13649, CBS 504.68, CCRC 13649, DSM 40009, IFO 12779, ISP 5009, JCM 4300, JCM 4582, NBRC 12779, NCIMB 9811, NRRL B-3064, NRRL-ISP 5009, RIA 1046, UNIQEM 152, VKM Ac-1727	yes	yes
Streptomyces griseorubens	ATCC 19767, ATCC 19909, BCRC 12104, CBS 505.68, CCRC 12104, DSM 40160, IFO 12780, INA 6124/54, ISP 5160, JCM 4383, NBRC 12780, NCIMB 9846, NRRL B-3982, NRRL-ISP 5160, RIA 1047, UNIQEM 153, VKM Ac-1894	yes	no
Streptomyces griseoruber	AS 4.1417, ATCC 23919, BCRC 11826, CBS 903.68, CCRC 11826, CCUG 11117, DSM 40281, HAMBI 1051, IFO 12873, ISP 5281, JCM 4200, JCM 4642, LMG 19325, NBRC 12873, NRRL B-1818, NRRL-ISP 5281, RIA 1195, VKM Ac-1900	yes	yes
Streptomyces griseorubiginosus	ATCC 23627, ATCC 23946 [[Streptomyces phaeopurpureus]], ATCC 25459, BCRC 12124, CBS 692.69, CCRC 12124, DSM 40469, IFO 13047, INA 7712, ISP 5469, JCM 4101 [[Streptomyces phaeopurpureus]], JCM 4481, LMG 19941, NBRC 13047, NRRL B-12384, NRRL-ISP 5469, RIA 1128 [[Streptomyces phaeopurpureus]], RIA 1239, VKM Ac-1203	yes	yes
Streptomyces griseosporeus	ATCC 27435, CBS 759.72, CGMCC 4.1840, DSM 40562, HAMBI 1009, IFO 13458, IMET 43543, ISP 5562, JCM 4766, NBRC 13458, NRRL B-12498, NRRL-ISP 5562, RIA 1419, VKM Ac-1731	yes	no
Streptomyces griseostramineus	ATCC 19768, ATCC 23628, BCRC 12075, CBS 506.68, CCRC 12075, CECT 3273, DSM 40161, IFO 12781, INA 10381, ISP 5161, JCM 4385, NBRC 12781, NRRL B-5422, NRRL-ISP 5161, RIA 1048, UNIQEM 154, VKM Ac-968	yes	no
Streptomyces griseoverticillatus	ATCC 27436, BCRC 12430, CBS 721.72, CCRC 12430, CGMCC 4.1842, DSM 40507, IFO 13420, ISP 5507, JCM 4202, JCM 4767, NBRC 13420, NRRL B-12432, NRRL-ISP 5507, PCM 2351, RIA 1381, VKM Ac-883	yes	no
Streptomyces griseoviridis	AS 4.1418, ATCC 23920, CBS 904.68, DSM 40229, HAMBI 1086, IFO 12874, ISP 5229, JCM 4250, JCM 4643, KCTC 9780, LMG 19321, NBRC 12874, NCIMB 9853, NRRL 2427, NRRL-ISP 5229, RIA 1170, VKM Ac-622	yes	no
Streptomyces griseus	AS 4.1367 [[Streptomyces setonii]], AS 4.1419, ATCC 23266 [[Streptomyces erumpens]], ATCC 23266 [[Streptomyces griseus subsp. griseus]], ATCC 23345, ATCC 23345 [[Streptomyces erumpens]], ATCC 23345 [[Streptomyces griseus subsp. griseus]], ATCC 23921, ATCC 25497 [[Streptomyces setonii]], BCRC 13478, CBS 105.27 [[Streptomyces setonii]], CBS 252.65 [[Streptomyces erumpens]], CBS 252.65 [[Streptomyces griseus subsp. griseus]], CBS 905.68, CBS 957.69 [[Streptomyces setonii]], CCRC 13478, CCT 4836, CCUG 11104, CECT 3330, CFBP 4546, CFBP 4549 [[Streptomyces setonii]], CIP 105124, CIP 105279 [[Streptomyces setonii]], DSM 40236, DSM 40236 [[Streptomyces erumpens]], DSM 40236 [[Streptomyces griseus subsp. griseus]], DSM 40395 [[Streptomyces setonii]], DSM 40941 [[Streptomyces erumpens]], DSM 40941 [[Streptomyces griseus subsp. griseus]], HAMBI 2315, ICMP 12543 [[Streptomyces setonii]], IFO 12875, IFO 13085 [[Streptomyces setonii]], IFO 15744, ISP 5236, JCM 4047, JCM 4226 [[Streptomyces setonii]], JCM 4516 [[Streptomyces setonii]], JCM 4644, KACC 20084, KCTC 9080, KCTC 9135, KCTC 9144 [[Streptomyces setonii]], LMG 19302, NBRC 12875, NBRC 13085 [[Streptomyces setonii]], NBRC 15744, NCIMB 13023, NCTC 13033, NRRL B-2555 [[Streptomyces setonii]], NRRL B-2682, NRRL B-3163 [[Streptomyces erumpens]], NRRL B-3163 [[Streptomyces griseus subsp. griseus]], NRRL B-8030 [[Streptomyces cavourensis subsp. washingtonensis]], NRRL-ISP 5236, NRRL-ISP 5395 [[Streptomyces setonii]], PCM 2331, RIA 1176, RIA 1277 [[Streptomyces setonii]], VKM Ac-800	yes	yes
Streptomyces guanduensis	701, CGMCC 4.2022, JCM 13274, NBRC 102070	yes	yes
Streptomyces gulbargensis	CCTCC AA 206001, DAS 131, JCM 16956, KCTC 19179	yes	no
Streptomyces hachijoensis	ATCC 19769, BCRC 12419, CBS 507.68, CCRC 12419, CECT 3260, DSM 2011, DSM 40114, IFO 12782, ISP 5114, JCM 4331, JCM 4583, NBRC 12782, NRRL B-3106, NRRL-ISP 5114, RIA 1049, UNIQEM 155, VKM Ac-191	yes	no
Streptomyces hainanensis	CCTCC AA 205017, DSM 41900, JCM 15129, YIM 47672	yes	no
Streptomyces haliclonae	DSM 41970, NBRC 105049, Sp080513SC-31	yes	no
Streptomyces halophytocola	KCTC 19890, KLBMP 1284, NBRC 108770	yes	no
Streptomyces halstedii	ATCC 10897, ATCC 12705 [[Streptomyces graminofaciens]], ATCC 19770, BCRC 13680, CBS 508.68, CCRC 13680, CECT 3328, DSM 40068, DSM 40559 [[Streptomyces graminofaciens]], HAMBI 993, IFO 12783, IMET 40322, IMET 43540 [[Streptomyces graminofaciens]], ISP 5068, ISP 5559 [[Streptomyces graminofaciens]], JCM 4584, NBRC 12783, NCIMB 9839, NRRL B-1238, NRRL-ISP 5068, RIA 1050, UNIQEM 156, VKM Ac-1768	yes	yes
Streptomyces harbinensis	CGMCC 4.7047, DSM 42076, NEAU-Da3	yes	yes
Streptomyces hawaiiensis	ATCC 12236, ATCC 19771, BCRC 13653, CBS 509.68, CCRC 13653, DSM 40042, IFM 1071, IFO 12784, IMET 43082, ISP 5042, JCM 4172, JCM 4585, LMG 5975, NBRC 12784, NCIMB 9410, NRRL B-1988, NRRL-ISP 5042, PCM 2315, RIA 1051, UNIQEM 157, VKM Ac-1761	yes	no
Streptomyces hebeiensis	CCTCC AA 203005, CCTCC AA203005, CIP 107974, DSM 41837, JCM 12696, NBRC 100914, NBRC 101006, YIM 001	yes	no
Streptomyces heilongjiangensis	ATCC BAA-2424, CGMCC 4.7004, DSM 42073, NEAU-W2	yes	no
Streptomyces heliomycini	DSM 41690, IFO 15899, INA 2915, JCM 9767, NBRC 15899, VKM Ac-1778	yes	no
Streptomyces helvaticus	ATCC 19841, CBS 683.72, DSM 40431, IFO 13382, INMI 1013-B, ISP 5431, JCM 4768, NBRC 13382, NRRL B-12365, NRRL-ISP 5431, RIA 1343, VKM Ac-192	yes	no
Streptomyces herbaceus	BK119, CGMCC 4.5797, KACC 21001	yes	no
Streptomyces himastatinicus	ATCC 53653, DSM 41914	yes	yes
